"Region","Year","Population","Income"
"Alberta",1999,2952700,"28280.0"
"Alberta",2000,3004200,"30255.3"
"Alberta",2001,3058100,"33055.7"
"Alberta",2002,3128300,"33222.0"
"Alberta",2003,3182900,"33979.0"
"Alberta",2004,3238400,"36572.2"
"Alberta",2005,3321600,"39733.1"
"Alberta",2006,3421400,"43547.3"
"Alberta",2007,3514000,"45517.2"
"Alberta",2008,3595800,"47903.4"
"Alberta",2009,3679100,"45644.4"
"Alberta",2010,3732600,"46911.3"
"Alberta",2011,3790200,"49677.7"
"Alberta",2012,3880800,"52669.6"
"Alberta",2013,3998000,"54653.3"
"Alberta",2014,4108400,"56510.3"
"Alberta",2015,4177500,"57909.1"
"Alberta",2016,4236400,"54260.8"
"British Columbia",1999,4011400,"25948.5"
"British Columbia",2000,4039200,"27020.7"
"British Columbia",2001,4076900,"27876.7"
"British Columbia",2002,4100200,"28733.0"
"British Columbia",2003,4123900,"29405.6"
"British Columbia",2004,4155000,"30830.2"
"British Columbia",2005,4195800,"32344.8"
"British Columbia",2006,4241700,"34915.6"
"British Columbia",2007,4291000,"36873.3"
"British Columbia",2008,4349400,"37675.0"
"British Columbia",2009,4410700,"37123.8"
"British Columbia",2010,4465900,"37949.1"
"British Columbia",2011,4499100,"39482.4"
"British Columbia",2012,4546300,"40619.9"
"British Columbia",2013,4590100,"42152.4"
"British Columbia",2014,4646500,"43292.7"
"British Columbia",2015,4694700,"45411.2"
"British Columbia",2016,4757700,"46905.0"
"Manitoba",1999,1142400,"23593.2"
"Manitoba",2000,1147300,"24463.2"
"Manitoba",2001,1151500,"25190.8"
"Manitoba",2002,1156600,"25824.0"
"Manitoba",2003,1163500,"26293.3"
"Manitoba",2004,1173200,"27358.0"
"Manitoba",2005,1178300,"28288.3"
"Manitoba",2006,1183500,"29768.7"
"Manitoba",2007,1189400,"31999.4"
"Manitoba",2008,1197800,"33596.5"
"Manitoba",2009,1208600,"33985.1"
"Manitoba",2010,1220900,"34789.9"
"Manitoba",2011,1233700,"36128.7"
"Manitoba",2012,1250300,"37641.6"
"Manitoba",2013,1265600,"38822.3"
"Manitoba",2014,1280900,"39557.8"
"Manitoba",2015,1295400,"41466.8"
"Manitoba",2016,1318100,"41890.1"
"New Brunswick",1999,750600,"22162.2"
"New Brunswick",2000,750500,"23037.5"
"New Brunswick",2001,749800,"23695.1"
